variable,n,shapiro_W,shapiro_p,shapiro_normal,dagostino_K2,dagostino_p,dagostino_normal,jarque_bera,jarque_bera_p,jarque_bera_normal,anderson_stat,anderson_crit,anderson_sig,skew,kurtosis
Presion,847946,0.43134861691878756,8.948042017069161e-101,False,426501.0603273894,0.0,False,1846373.0597087177,0.0,False,224214.06165047362,"[0.576, 0.656, 0.787, 0.918, 1.092]","[15.0, 10.0, 5.0, 2.5, 1.0]",-2.6211327839665057,4.97773250107161
Temperatura,847946,0.9959846039109825,5.338716343335416e-16,False,3118.3825549574667,0.0,False,3045.5230237547585,0.0,False,968.8556153298123,"[0.576, 0.656, 0.787, 0.918, 1.092]","[15.0, 10.0, 5.0, 2.5, 1.0]",-0.130866420309569,-0.13302427261597893
Volumen,847946,0.7766375855219225,5.821267174016832e-79,False,128437.79847977744,0.0,False,198352.48852424984,0.0,False,77287.1500560746,"[0.576, 0.656, 0.787, 0.918, 1.092]","[15.0, 10.0, 5.0, 2.5, 1.0]",1.1842894833538118,0.06277623589268666
